Linux 6.8.0-65-generic (rodrigo-MS-7A33) 	08/24/2025 	_x86_64_	(12 CPU)

11:04:41 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:04:42 AM     0         1    0.00    0.00    0.00    0.00    0.00     8  systemd
11:04:43 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:44 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:45 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:46 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:47 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:48 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:49 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:50 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:51 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:52 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:53 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:54 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:55 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:56 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:57 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:58 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:04:59 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:05:00 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:05:01 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd
11:05:02 AM     0         1    0.00    0.00    0.00    0.00    0.00     7  systemd

Average:        0         1    0.00    0.00    0.00    0.00    0.00     -  systemd
